material_id,cif,formula_pretty,energy_per_atom,formation_energy_per_atom,energy_above_hull,band_gap,cbm,vbm,efermi,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites
1182980,"# generated using pymatgen
data_AgI
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   10.35883092
_cell_length_b   10.35883092
_cell_length_c   7.88351900
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000590
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AgI
_chemical_formula_sum   'Ag1 I1'
_cell_volume   732.60893945
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.00000000  0.00000000  0.99750700  1
  I  I1  1  0.00000000  0.00000000  0.67249300  1
",AgI,-1.827614475,0.355860672,0.82362057,1.8797,-3.4618,-5.3415,-3.4619565,2.62E-05,3.58E-08,2.62E-05,0,0
22894,"# generated using pymatgen
data_AgI
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.65855721
_cell_length_b   4.65855558
_cell_length_c   7.55273917
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.99998909
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AgI
_chemical_formula_sum   'Ag2 I2'
_cell_volume   141.95081204
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.33333300  0.66666700  0.00098414  1
  Ag  Ag1  1  0.66666700  0.33333300  0.50098414  1
  I  I2  1  0.33333300  0.66666700  0.37891586  1
  I  I3  1  0.66666700  0.33333300  0.87891586  1
",AgI,-2.64862117,-0.465146023,0.002613875,1.3877,2.6682,1.2805,1.31058614,0,0,0,0,0
22915,"# generated using pymatgen
data_AgI
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.85500000
_cell_length_b   3.85500000
_cell_length_c   3.85500000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AgI
_chemical_formula_sum   'Ag1 I1'
_cell_volume   57.28925137
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.00000000  0.00000000  0.00000000  1
  I  I1  1  0.50000000  0.50000000  0.50000000  1
",AgI,-2.258497785,-0.075022638,0.39273726,0,,,3.45358834,0,0,0,0,0
22919,"# generated using pymatgen
data_AgI
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.36214173
_cell_length_b   4.36214173
_cell_length_c   4.36214173
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AgI
_chemical_formula_sum   'Ag1 I1'
_cell_volume   58.69273120
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.00000000  0.00000000  0.00000000  1
  I  I1  1  0.50000000  0.50000000  0.50000000  1
",AgI,-2.556218125,-0.372742978,0.09501692,0.7684,3.8487,3.0803,3.30550499,0,0,0,0,0
22925,"# generated using pymatgen
data_AgI
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.64158448
_cell_length_b   4.64158375
_cell_length_c   4.64158458
_cell_angle_alpha   60.00000165
_cell_angle_beta   60.00000685
_cell_angle_gamma   59.99999933
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AgI
_chemical_formula_sum   'Ag1 I1'
_cell_volume   70.71047378
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  -0.00000000  -0.00000000  0.00000000  1
  I  I1  1  0.25000000  0.25000000  0.25000000  1
",AgI,-2.64882849,-0.465353343,0.002406555,1.3674,2.6275,1.2601,1.39863841,0,0,0,0,0
567809,"# generated using pymatgen
data_AgI
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.47138773
_cell_length_b   4.47138773
_cell_length_c   6.64540110
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AgI
_chemical_formula_sum   'Ag2 I2'
_cell_volume   132.86355252
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  -0.00000000  -0.00000000  0.00000000  1
  Ag  Ag1  1  0.50000000  0.50000000  -0.00000000  1
  I  I2  1  0.00000000  0.50000000  0.72081676  1
  I  I3  1  0.50000000  -0.00000000  0.27918324  1
",AgI,-2.64481597,-0.461340823,0.006419075,1.5986,3.0375,1.4389,1.53284226,0,0,0,0,0
568927,"# generated using pymatgen
data_AgI
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.34977400
_cell_length_b   4.39636700
_cell_length_c   6.09710847
_cell_angle_alpha   90.00000000
_cell_angle_beta   88.42739640
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AgI
_chemical_formula_sum   'Ag2 I2'
_cell_volume   116.55232634
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.81886300  0.75000000  0.22325600  1
  Ag  Ag1  1  0.18113700  0.25000000  0.77674400  1
  I  I2  1  0.28154700  0.25000000  0.25865000  1
  I  I3  1  0.71845300  0.75000000  0.74135000  1
",AgI,-2.545618395,-0.362143248,0.10561665,0.9589,3.7779,2.819,2.82336265,1.80E-06,1.54E-08,9.00E-07,0,0
580941,"# generated using pymatgen
data_AgI
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.50627558
_cell_length_b   4.50627608
_cell_length_c   15.26236861
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00001213
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AgI
_chemical_formula_sum   'Ag4 I4'
_cell_volume   268.40342893
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.00000000  -0.00000000  0.32347407  1
  Ag  Ag1  1  0.66666700  0.33333300  0.42647086  1
  Ag  Ag2  1  0.33333300  0.66666700  0.92647086  1
  Ag  Ag3  1  0.00000000  0.00000000  0.82347407  1
  I  I4  1  0.00000000  0.00000000  0.01163992  1
  I  I5  1  0.66666700  0.33333300  0.23841515  1
  I  I6  1  0.33333300  0.66666700  0.73841515  1
  I  I7  1  0.00000000  0.00000000  0.51163992  1
",AgI,-2.651235045,-0.467759898,0,1.3759,2.5295,1.1536,1.27372464,0,0,0,0,0
684580,"# generated using pymatgen
data_AgI
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.65559892
_cell_length_b   4.65559892
_cell_length_c   4.65559892
_cell_angle_alpha   118.09274768
_cell_angle_beta   118.09274768
_cell_angle_gamma   93.33647444
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AgI
_chemical_formula_sum   'Ag1 I1'
_cell_volume   73.27548447
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.25000000  0.75000000  0.50000000  1
  I  I1  1  0.00000000  0.00000000  0.00000000  1
",AgI,-2.64737652,-0.463901373,0.003858525,1.3143,2.6118,1.2975,1.44498379,0.0001455,1.99E-06,0.0001455,0,0
33154,"# generated using pymatgen
data_AgI2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.28572800
_cell_length_b   4.28572800
_cell_length_c   6.35478100
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AgI2
_chemical_formula_sum   'Ag1 I2'
_cell_volume   116.72121436
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.00000000  0.00000000  0.50000000  1
  I  I1  1  0.50000000  0.00000000  0.77776200  1
  I  I2  1  0.00000000  0.50000000  0.22223800  1
",AgI2,-2.26324927,-0.299594967,0.012244965,0,,,1.26129592,0.0014103,1.21E-05,0.0014103,0,0
